지역,일자,PM10
서울 중구,2023-08-03,24.27777777777778
서울 중구,2023-08-04,22.108695652173914
서울 중구,2023-08-05,20.68888888888889
서울 중구,2023-08-07,13.028571428571428
서울 중구,2023-08-08,11.785714285714286
서울 중구,2023-08-13,28.217391304347824
서울 중구,2023-08-14,41.72093023255814
서울 중구,2023-08-15,25.891304347826086
서울 중구,2023-08-17,28.91304347826087
서울 중구,2023-08-18,38.56521739130435
서울 중구,2023-08-19,27.32608695652174
서울 중구,2023-08-20,26.956521739130434
서울 중구,2023-08-21,26.934782608695652
서울 중구,2023-08-25,17.97826086956522
서울 중구,2023-08-26,39.28260869565217
서울 중구,2023-08-27,28.52173913043478
서울 중구,2023-08-31,19.91111111111111
서울 중구,2023-09-01,24.065217391304348
서울 중구,2023-09-02,28.543478260869566
